Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,9.530000,10.200000,9.480000,10.190000,10.190000,67826000
2022-06-27,10.150000,10.160000,9.510000,9.620000,9.620000,44768000
2022-06-28,9.570000,9.880000,9.190000,9.310000,9.310000,45589000
2022-06-29,9.350000,9.420000,9.070000,9.230000,9.230000,40408700
2022-06-30,9.020000,9.190000,8.720000,9.070000,9.070000,33636400
2022-07-01,9.110000,9.430000,9.031000,9.270000,9.270000,33504400
2022-07-05,9.140000,10.100000,9.000000,10.070000,10.070000,55854800
2022-07-06,10.010000,10.310000,9.740000,9.800000,9.800000,54604300
2022-07-07,9.760000,10.280000,9.750000,10.180000,10.180000,35672500
2022-07-08,9.920000,10.380000,9.830000,10.170000,10.170000,36737100
2022-07-11,9.980000,9.994000,9.530000,9.560000,9.560000,34015100
2022-07-12,9.660000,9.960000,9.270000,9.490000,9.490000,42765800
2022-07-13,9.220000,9.550000,9.050000,9.280000,9.280000,32461300
2022-07-14,9.230000,9.280000,8.850000,8.900000,8.900000,26702100
2022-07-15,9.010000,9.120000,8.650000,9.040000,9.040000,34918100
2022-07-18,9.250000,9.450000,9.005000,9.030000,9.030000,32428400
2022-07-19,9.150000,9.370000,8.890000,9.340000,9.340000,29033800
2022-07-20,9.440000,10.200000,9.440000,10.110000,10.110000,40845200
2022-07-21,10.370000,10.760000,10.220000,10.490000,10.490000,51691200
2022-07-22,10.350000,10.570000,9.730000,9.840000,9.840000,38915500
2022-07-25,9.830000,9.850000,9.520000,9.680000,9.680000,21485000
2022-07-26,9.660000,9.660000,9.380000,9.400000,9.400000,21997800
2022-07-27,9.670000,10.030000,9.500000,10.020000,10.020000,29810900
2022-07-28,10.030000,10.200000,9.740000,10.130000,10.130000,27172900
2022-07-29,10.010000,10.350000,9.920000,10.350000,10.350000,31106600
2022-08-01,10.250000,10.700000,10.122000,10.470000,10.470000,31694700
2022-08-02,10.320000,11.230000,10.260000,10.920000,10.920000,40958800
2022-08-03,11.080000,11.340000,11.040000,11.200000,11.200000,35796500
2022-08-04,11.190000,11.410000,11.030000,11.320000,11.320000,32093400
2022-08-05,11.010000,11.620000,10.850000,11.450000,11.450000,50264800
2022-08-08,9.770000,10.400000,9.710000,9.820000,9.820000,125272600
2022-08-09,9.540000,9.570000,9.010000,9.250000,9.250000,58788900
2022-08-10,9.510000,9.660000,9.320000,9.590000,9.590000,46054900
2022-08-11,9.760000,10.050000,9.400000,9.420000,9.420000,44790900
2022-08-12,9.550000,9.970000,9.420000,9.910000,9.910000,30638200
2022-08-15,9.820000,10.100000,9.760000,9.910000,9.910000,33263400
