Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,19.660000,20.090000,19.480000,19.740000,19.740000,3926000
2022-06-27,19.980000,19.980000,19.250000,19.850000,19.850000,3110300
2022-06-28,19.910000,20.250000,18.600000,18.670000,18.670000,2849200
2022-06-29,18.680000,18.680000,18.049999,18.290001,18.290001,2848400
2022-06-30,17.940001,18.500000,17.290001,17.959999,17.959999,3601600
2022-07-01,17.809999,18.280001,17.570000,17.879999,17.879999,3350600
2022-07-05,17.530001,18.680000,16.969999,18.660000,18.660000,4537000
2022-07-06,18.430000,18.610001,17.639999,18.059999,18.059999,4141000
2022-07-07,18.389999,18.780001,18.240000,18.480000,18.480000,4472600
2022-07-08,18.465000,18.860001,18.129999,18.490000,18.490000,2637400
2022-07-11,18.090000,18.120001,17.290001,17.330000,17.330000,2720900
2022-07-12,17.170000,18.090000,17.059999,17.850000,17.850000,4143400
2022-07-13,17.780001,18.309999,17.520000,17.900000,17.900000,2938500
2022-07-14,17.580000,17.780001,16.990000,17.010000,17.010000,2419800
2022-07-15,17.400000,17.860001,17.030001,17.530001,17.530001,4429700
2022-07-18,17.820000,18.334999,17.424999,17.559999,17.559999,2331300
2022-07-19,17.969999,18.459999,17.830000,18.240000,18.240000,3703100
2022-07-20,18.200001,18.535000,17.959999,18.480000,18.480000,3193500
2022-07-21,18.469999,19.219999,18.400000,19.139999,19.139999,2880200
2022-07-22,19.180000,19.180000,18.510000,18.680000,18.680000,2848300
2022-07-25,18.889999,19.110001,18.480000,18.879999,18.879999,1342800
2022-07-26,18.660000,18.840000,18.485001,18.549999,18.549999,2513600
2022-07-27,18.889999,20.110001,18.820000,20.059999,20.059999,3404800
2022-07-28,20.100000,20.570000,19.360001,20.530001,20.530001,1920800
2022-07-29,20.540001,21.230000,20.330000,21.100000,21.100000,2765800
2022-08-01,21.020000,22.510000,20.830000,21.990000,21.990000,6236700
2022-08-02,21.650000,22.200001,21.469999,21.930000,21.930000,2474700
2022-08-03,22.170000,23.209999,22.040001,23.049999,23.049999,3151500
2022-08-04,24.000000,24.190001,22.799999,23.430000,23.430000,6151600
2022-08-05,22.940001,23.770000,22.730000,23.770000,23.770000,2755300
2022-08-08,24.370001,25.299999,24.100000,24.660000,24.660000,7071600
2022-08-09,24.360001,24.469999,23.230000,23.660000,23.660000,3788600
2022-08-10,22.240000,22.500000,20.250000,20.530001,20.530001,14826600
2022-08-11,19.600000,19.680000,18.469999,18.770000,18.770000,11465300
2022-08-12,19.010000,19.705000,18.879999,19.690001,19.690001,4622300
2022-08-15,19.480000,22.129999,19.466000,21.850000,21.850000,7289100
2022-08-16,21.650000,21.715000,20.559999,21.040001,21.040001,4746100
2022-08-17,20.740000,21.350000,20.500000,21.230000,21.230000,2968000
2022-08-18,21.209999,21.510000,21.110001,21.330000,21.330000,3830300
2022-08-19,20.990000,21.080000,20.270000,20.379999,20.379999,4055200
2022-08-22,19.940001,20.120001,19.305000,19.480000,19.480000,4558100
2022-08-23,19.450001,21.740000,19.450001,21.620001,21.620001,5126900
2022-08-24,21.629999,23.004999,21.549999,22.430000,22.430000,4564400
2022-08-25,22.600000,22.865000,21.930000,22.120001,22.120001,3313800
2022-08-26,22.309999,22.540001,21.240000,21.320000,21.320000,2074900
2022-08-29,21.110001,21.600000,20.639999,20.780001,20.780001,4070700
2022-08-30,21.010000,21.040001,19.670000,19.750000,19.750000,3100400
2022-08-31,19.820000,19.990000,19.180000,19.240000,19.240000,4498600
2022-09-01,19.070000,19.389999,18.360001,19.350000,19.350000,3926300
2022-09-02,19.680000,20.059999,19.020000,19.379999,19.379999,3422400
2022-09-06,19.270000,19.340000,18.580000,18.900000,18.900000,2291800
2022-09-07,18.940001,19.400000,18.629999,19.389999,19.389999,1563400
2022-09-08,19.230000,19.690001,19.040001,19.379999,19.379999,2390300
2022-09-09,19.740000,20.370001,19.680000,20.219999,20.219999,2111400
2022-09-12,20.469999,21.160000,20.450001,21.120001,21.120001,2125300
2022-09-13,20.270000,20.490000,19.844999,19.850000,19.850000,1998000
2022-09-14,19.639999,20.150000,19.340000,19.799999,19.799999,2645300
2022-09-15,19.629999,20.420000,19.389999,19.549999,19.549999,2584100
2022-09-16,19.139999,19.155001,18.459999,19.000000,19.000000,3947000
